Date,Market/Asset,Contract Details,Action (Buy/Sell),Contracts/Size,Entry Price ($),Exit Price ($),Fees ($),Net Profit/Loss ($),Time (ET),Timezone,Datetime Acquired (UTC),Datetime Disposed (UTC),Holding Period,Proceeds ($),Cost Basis incl. Fees ($),Gain/Loss ($),Leg Type,Side Bought,Status,Settlement Result,Order ID
2026-09-08,"XRP 15-minute binary, close 26SEP081030",KXXRP15M-26SEP081030-30,Buy to Open (held to settlement),1.0,0.987,1.0,0.0009,0.0121,10:29:40,EDT,2026-09-08T14:29:40Z,2026-09-08T14:30:50Z,Short-term (under 1 hour),1.0,0.9879,0.0121,ENTRY,,SETTLED,YES,01a0816c-b420-7665-8673-58ac71ee5bad
2026-09-08,"Hyperliquid 15-minute binary, close 26SEP081200",KXHYPE15M-26SEP081200-00,Buy to Open (held to settlement),8.0,0.934,,0.0344,,11:59:51,EDT,2026-09-08T15:59:51Z,,,,7.5064,,ENTRY,,OPEN,,01a081bf-44d8-71e0-ac91-354066f6c91d
2026-09-08,"Ethereum 15-minute binary, close 26SEP081300",KXETH15M-26SEP081300-00,Buy to Open (held to settlement),5.0,0.975,1.0,0.0085,0.1164,12:59:49,EDT,2026-09-08T16:59:49Z,2026-09-08T17:00:20Z,Short-term (under 1 hour),5.0,4.8835,0.1165,ENTRY,,SETTLED,NO,01a081f6-2b88-7f18-ad1a-9976cc8d8be2
2026-09-08,"Bitcoin 15-minute binary, close 26SEP081730",KXBTC15M-26SEP081730-30,Buy to Open (held to settlement),10.0,0.89,1.0,0.068,1.0314,17:29:53,EDT,2026-09-08T21:29:53Z,2026-09-08T21:30:20Z,Short-term (under 1 hour),10.0,8.968,1.032,ENTRY,,SETTLED,NO,01a082ed-6c68-7a42-b0ed-348ac0d1a012
2026-09-08,"NEAR 15-minute binary, close 26SEP081745",KXNEAR15M-26SEP081745-45,Buy to Open (held to settlement),10.0,0.97,1.0,0.02,0.2796,17:44:30,EDT,2026-09-08T21:44:30Z,2026-09-08T21:45:20Z,Short-term (under 1 hour),10.0,9.72,0.28,ENTRY,,SETTLED,YES,01a082fa-ce30-770e-a037-a030150340e1
2026-09-08,"Bitcoin 15-minute binary, close 26SEP081745",KXBTC15M-26SEP081745-45,Buy to Open (held to settlement),10.0,0.95,1.0,0.033,0.4667,17:44:36,EDT,2026-09-08T21:44:36Z,2026-09-08T21:45:20Z,Short-term (under 1 hour),10.0,9.533,0.467,ENTRY,,SETTLED,NO,01a082fa-e5a0-7e18-960b-8d7b4cd6eb4d
2026-09-08,"NEAR 15-minute binary, close 26SEP081815",KXNEAR15M-26SEP081815-15,Buy to Open (held to settlement),10.0,0.975,1.0,0.017,0.2329,18:14:30,EDT,2026-09-08T22:14:30Z,2026-09-08T22:15:20Z,Short-term (under 1 hour),10.0,9.767,0.233,ENTRY,,SETTLED,YES,01a08316-4570-75ef-bd58-d191777eddc6
2026-09-08,"Bitcoin 15-minute binary, close 26SEP081815",KXBTC15M-26SEP081815-15,Buy to Open (held to settlement),10.0,0.951,1.0,0.032,0.4573,18:14:36,EDT,2026-09-08T22:14:36Z,2026-09-08T22:15:20Z,Short-term (under 1 hour),10.0,9.542,0.458,ENTRY,,SETTLED,NO,01a08316-5ce0-7146-9ad3-25741b9ee302
2026-09-08,"Dogecoin 15-minute binary, close 26SEP081915",KXDOGE15M-26SEP081915-15,Buy to Open (held to settlement),20.0,0.98,1.0,0.026,0.3725,19:14:33,EDT,2026-09-08T23:14:33Z,2026-09-08T23:15:20Z,Short-term (under 1 hour),20.0,19.626,0.374,ENTRY,,SETTLED,YES,01a0834d-3fa8-737f-8684-4d0e519653e9
2026-09-08,"Solana 15-minute binary, close 26SEP081915",KXSOL15M-26SEP081915-15,Buy to Open (held to settlement),10.0,0.969,1.0,0.021,0.2889,19:14:36,EDT,2026-09-08T23:14:36Z,2026-09-08T23:15:20Z,Short-term (under 1 hour),10.0,9.711,0.289,ENTRY,,SETTLED,YES,01a0834d-4b60-7264-ada3-8c1e5637fa3a
2026-09-08,"Solana 15-minute binary, close 26SEP081930",KXSOL15M-26SEP081930-30,Buy to Open (held to settlement),20.0,0.901,1.0,0.124,1.8551,19:29:53,EDT,2026-09-08T23:29:53Z,2026-09-08T23:30:20Z,Short-term (under 1 hour),20.0,18.144,1.856,ENTRY,,SETTLED,YES,01a0835b-4968-7633-ad63-cda5e6e49dfe
2026-09-08,"BNB 15-minute binary, close 26SEP081945",KXBNB15M-26SEP081945-45,Buy to Open (held to settlement),20.0,0.98,1.0,0.026,0.3725,19:44:30,EDT,2026-09-08T23:44:30Z,2026-09-08T23:45:20Z,Short-term (under 1 hour),20.0,19.626,0.374,ENTRY,,SETTLED,NO,01a08368-ab30-7ae4-a84d-7d0a2de0fb41
2026-09-08,"Dogecoin 15-minute binary, close 26SEP081945",KXDOGE15M-26SEP081945-45,Buy to Open (held to settlement),20.0,0.969,1.0,0.042,0.5779,19:44:38,EDT,2026-09-08T23:44:38Z,2026-09-08T23:45:20Z,Short-term (under 1 hour),20.0,19.422,0.578,ENTRY,,SETTLED,NO,01a08368-ca70-7a29-bcee-ef0f169863a4
2026-09-08,"Ethereum 15-minute binary, close 26SEP082000",KXETH15M-26SEP082000-00,Buy to Open (held to settlement),20.0,0.98,1.0,0.026,0.3725,19:59:30,EDT,2026-09-08T23:59:30Z,2026-09-09T00:00:20Z,Short-term (under 1 hour),20.0,19.626,0.374,ENTRY,,SETTLED,NO,01a08376-66d0-7f0d-8023-8de922355031
2026-09-08,"Bitcoin 15-minute binary, close 26SEP082000",KXBTC15M-26SEP082000-00,Buy to Open (held to settlement),20.0,0.947,1.0,0.07,0.9897,19:59:41,EDT,2026-09-08T23:59:41Z,2026-09-09T00:00:20Z,Short-term (under 1 hour),20.0,19.01,0.99,ENTRY,,SETTLED,YES,01a08376-91c8-7496-8822-ba8ca55484fc
2026-09-08,"Bitcoin 15-minute binary, close 26SEP082000",KXBTC15M-26SEP082000-00,Buy to Open (held to settlement),20.0,0.938,,0.08,,19:59:44,EDT,2026-09-08T23:59:44Z,,,,18.84,,ENTRY,,OPEN,,01a08376-9d80-7f90-8b03-a5867c38df2b
2026-09-08,"NEAR 15-minute binary, close 26SEP082030",KXNEAR15M-26SEP082030-30,Buy to Open (held to settlement),20.0,0.978,1.0,0.03,0.4098,20:29:45,EDT,2026-09-09T00:29:45Z,2026-09-09T00:30:20Z,Short-term (under 1 hour),20.0,19.59,0.41,ENTRY,,SETTLED,YES,01a08392-18a8-7c8d-a9c9-8d92ed2195e6
2026-09-08,"NEAR 15-minute binary, close 26SEP082045",KXNEAR15M-26SEP082045-45,Buy to Open (held to settlement),20.0,0.962,0.0,0.05,-19.2912,20:44:38,EDT,2026-09-09T00:44:38Z,2026-09-09T00:45:20Z,Short-term (under 1 hour),0.0,19.29,-19.29,ENTRY,,SETTLED,YES,01a0839f-b8f0-70e9-959a-4ce7d2a30bbc
2026-09-08,"NEAR 15-minute binary, close 26SEP082045",KXNEAR15M-26SEP082045-45,Buy to Open (held to settlement),20.0,0.956,0.0,0.058,-19.1789,20:44:39,EDT,2026-09-09T00:44:39Z,2026-09-09T00:45:35Z,Short-term (under 1 hour),0.0,19.178,-19.178,ENTRY,,SETTLED,YES,01a0839f-bcd8-7c7b-bc73-3630bd5c48e3
2026-09-08,"NEAR 15-minute binary, close 26SEP082045",KXNEAR15M-26SEP082045-45,Buy to Open (held to settlement),19.0,0.73,0.0,0.2622,-14.1322,20:44:43,EDT,2026-09-09T00:44:43Z,2026-09-09T00:45:50Z,Short-term (under 1 hour),0.0,14.1322,-14.1322,ENTRY,,SETTLED,YES,01a0839f-cc78-78ba-9b49-56aa95b37a62
2026-09-08,"Ethereum 15-minute binary, close 26SEP082200",KXETH15M-26SEP082200-00,Buy to Open (held to settlement),10.0,0.976,1.0,0.016,0.2236,21:59:33,EDT,2026-09-09T01:59:33Z,2026-09-09T02:00:20Z,Short-term (under 1 hour),10.0,9.776,0.224,ENTRY,,SETTLED,YES,01a083e4-4f88-7b82-a9dc-4b516139d5b6
2026-09-08,"Hyperliquid 15-minute binary, close 26SEP082200",KXHYPE15M-26SEP082200-00,Buy to Open (held to settlement),10.0,0.958,1.0,0.028,0.3918,21:59:34,EDT,2026-09-09T01:59:34Z,2026-09-09T02:00:20Z,Short-term (under 1 hour),10.0,9.608,0.392,ENTRY,,SETTLED,YES,01a083e4-5370-740f-84f8-c7c8506c075d
2026-09-08,"NEAR 15-minute binary, close 26SEP082200",KXNEAR15M-26SEP082200-00,Buy to Open (held to settlement),10.0,0.95,1.0,0.033,0.4667,21:59:40,EDT,2026-09-09T01:59:40Z,2026-09-09T02:00:20Z,Short-term (under 1 hour),10.0,9.533,0.467,ENTRY,,SETTLED,NO,01a083e4-6ae0-7d35-a73a-ae7236011490
2026-09-08,"Bitcoin 15-minute binary, close 26SEP082230",KXBTC15M-26SEP082230-30,Buy to Open (held to settlement),10.0,0.987,1.0,0.009,0.121,22:29:49,EDT,2026-09-09T02:29:49Z,2026-09-09T02:30:20Z,Short-term (under 1 hour),10.0,9.879,0.121,ENTRY,,SETTLED,YES,01a08400-0548-70ad-a1db-fcfa50514410
2026-09-08,"Solana 15-minute binary, close 26SEP090000",KXSOL15M-26SEP090000-00,Buy to Open (held to settlement),11.0,0.971,1.0,0.0209,0.2973,23:59:38,EDT,2026-09-09T03:59:38Z,2026-09-09T04:00:20Z,Short-term (under 1 hour),11.0,10.7019,0.2981,ENTRY,,SETTLED,YES,01a08452-4010-709d-8c40-fb19e48b71a5
2026-09-09,"Solana 15-minute binary, close 26SEP090115",KXSOL15M-26SEP090115-15,Buy to Open (held to settlement),20.0,0.22,1.0,0.24,15.3597,01:14:48,EDT,2026-09-09T05:14:48Z,2026-09-09T05:15:20Z,Short-term (under 1 hour),20.0,4.64,15.36,ENTRY,,SETTLED,NO,01a08497-1140-7cf0-a565-31b9b51537ce
2026-09-09,"Zcash 15-minute binary, close 26SEP090130",KXZEC15M-26SEP090130-30,Buy to Open (held to settlement),20.0,0.975,1.0,0.034,0.4658,01:29:56,EDT,2026-09-09T05:29:56Z,2026-09-09T05:30:20Z,Short-term (under 1 hour),20.0,19.534,0.466,ENTRY,,SETTLED,NO,01a084a4-ec20-7a42-b06c-385503530472
2026-09-09,"Ethereum 15-minute binary, close 26SEP090200",KXETH15M-26SEP090200-00,Buy to Open (held to settlement),20.0,0.98,1.0,0.026,0.3725,01:59:30,EDT,2026-09-09T05:59:30Z,2026-09-09T06:00:20Z,Short-term (under 1 hour),20.0,19.626,0.374,ENTRY,,SETTLED,YES,01a084bf-fdd0-7597-bc84-8b44ff97e464
2026-09-09,"Dogecoin 15-minute binary, close 26SEP090200",KXDOGE15M-26SEP090200-00,Buy to Open (held to settlement),20.0,0.959,1.0,0.054,0.7649,01:59:40,EDT,2026-09-09T05:59:40Z,2026-09-09T06:00:20Z,Short-term (under 1 hour),20.0,19.234,0.766,ENTRY,,SETTLED,YES,01a084c0-24e0-7d0f-9753-e04da9037c37
2026-09-09,"Zcash 15-minute binary, close 26SEP090230",KXZEC15M-26SEP090230-30,Buy to Open (held to settlement),20.0,0.976,1.0,0.032,0.4472,02:29:31,EDT,2026-09-09T06:29:31Z,2026-09-09T06:30:20Z,Short-term (under 1 hour),20.0,19.552,0.448,ENTRY,,SETTLED,NO,01a084db-78f8-76bb-88bc-5b655041adf3
2026-09-09,"Solana 15-minute binary, close 26SEP090245",KXSOL15M-26SEP090245-45,Buy to Open (held to settlement),17.0,0.978,1.0,0.0255,0.3483,02:44:30,EDT,2026-09-09T06:44:30Z,2026-09-09T06:45:20Z,Short-term (under 1 hour),17.0,16.6515,0.3485,ENTRY,,SETTLED,NO,01a084e9-30b0-782d-852e-01f5844392c9
2026-09-09,"Dogecoin 15-minute binary, close 26SEP090245",KXDOGE15M-26SEP090245-45,Buy to Open (held to settlement),20.0,0.959,1.0,0.054,0.7649,02:44:45,EDT,2026-09-09T06:44:45Z,2026-09-09T06:45:20Z,Short-term (under 1 hour),20.0,19.234,0.766,ENTRY,,SETTLED,NO,01a084e9-6b48-7258-ba4e-699bad256cd1
2026-09-09,"Ethereum 15-minute binary, close 26SEP090300",KXETH15M-26SEP090300-00,Buy to Open (held to settlement),20.0,0.85,1.0,0.178,2.8214,02:59:30,EDT,2026-09-09T06:59:30Z,2026-09-09T07:00:20Z,Short-term (under 1 hour),20.0,17.178,2.822,ENTRY,,SETTLED,YES,01a084f6-ec50-7a52-80a1-06bbbaefce2d
2026-09-09,"Hyperliquid 15-minute binary, close 26SEP090315",KXHYPE15M-26SEP090315-15,Buy to Open (held to settlement),20.0,0.979,1.0,0.028,0.3912,03:14:31,EDT,2026-09-09T07:14:31Z,2026-09-09T07:15:20Z,Short-term (under 1 hour),20.0,19.608,0.392,ENTRY,,SETTLED,NO,01a08504-abd8-75e9-b9f0-8c0d320a1a59
2026-09-09,"NEAR 15-minute binary, close 26SEP090315",KXNEAR15M-26SEP090315-15,Buy to Open (held to settlement),17.0,0.971,1.0,0.0323,0.4594,03:14:35,EDT,2026-09-09T07:14:35Z,2026-09-09T07:15:20Z,Short-term (under 1 hour),17.0,16.5393,0.4607,ENTRY,,SETTLED,YES,01a08504-bb78-7e59-816b-7713d567e1f0
2026-09-09,"Zcash 15-minute binary, close 26SEP090330",KXZEC15M-26SEP090330-30,Buy to Open (held to settlement),14.0,0.957,1.0,0.0392,0.5616,03:29:46,EDT,2026-09-09T07:29:46Z,2026-09-09T07:30:50Z,Short-term (under 1 hour),14.0,13.4372,0.5628,ENTRY,,SETTLED,NO,01a08512-a210-7746-9f00-214c08fc637f
2026-09-09,"Dogecoin 15-minute binary, close 26SEP090345",KXDOGE15M-26SEP090345-45,Buy to Open (held to settlement),20.0,0.89,1.0,0.136,2.0629,03:44:47,EDT,2026-09-09T07:44:47Z,2026-09-09T07:45:20Z,Short-term (under 1 hour),20.0,17.936,2.064,ENTRY,,SETTLED,NO,01a08520-6198-7ab2-8dd0-ee982d15bbdf
2026-09-09,"XRP 15-minute binary, close 26SEP090415",KXXRP15M-26SEP090415-15,Buy to Open (held to settlement),20.0,0.915,1.0,0.108,1.5911,04:14:49,EDT,2026-09-09T08:14:49Z,2026-09-09T08:15:20Z,Short-term (under 1 hour),20.0,18.408,1.592,ENTRY,,SETTLED,YES,01a0853b-e0a8-7c2d-a2bc-477dabca0fd3
2026-09-09,"XRP 15-minute binary, close 26SEP090430",KXXRP15M-26SEP090430-30,Buy to Open (held to settlement),20.0,0.967,1.0,0.044,0.6153,04:29:30,EDT,2026-09-09T08:29:30Z,2026-09-09T08:30:20Z,Short-term (under 1 hour),20.0,19.384,0.616,ENTRY,,SETTLED,NO,01a08549-5210-74cd-a369-9729bf2d7e46
2026-09-09,"Hyperliquid 15-minute binary, close 26SEP090430",KXHYPE15M-26SEP090430-30,Buy to Open (held to settlement),12.0,0.95,1.0,0.0396,0.56,04:29:35,EDT,2026-09-09T08:29:35Z,2026-09-09T08:30:20Z,Short-term (under 1 hour),12.0,11.4396,0.5604,ENTRY,,SETTLED,NO,01a08549-6598-71d7-9398-7c4ad32f8895
2026-09-09,"Dogecoin 15-minute binary, close 26SEP090445",KXDOGE15M-26SEP090445-45,Buy to Open (held to settlement),20.0,0.978,1.0,0.03,0.4098,04:44:34,EDT,2026-09-09T08:44:34Z,2026-09-09T08:45:20Z,Short-term (under 1 hour),20.0,19.59,0.41,ENTRY,,SETTLED,YES,01a08557-1d50-7713-bbaa-6e8d5832cc04
2026-09-09,"Hyperliquid 15-minute binary, close 26SEP090530",KXHYPE15M-26SEP090530-30,Buy to Open (held to settlement),20.0,0.976,1.0,0.032,0.4472,05:29:36,EDT,2026-09-09T09:29:36Z,2026-09-09T09:30:20Z,Short-term (under 1 hour),20.0,19.552,0.448,ENTRY,,SETTLED,NO,01a08580-5800-7d20-b536-dc7f64ddcae6
2026-09-09,"NEAR 15-minute binary, close 26SEP090530",KXNEAR15M-26SEP090530-30,Buy to Open (held to settlement),20.0,0.93,1.0,0.09,1.3088,05:29:36,EDT,2026-09-09T09:29:36Z,2026-09-09T09:30:20Z,Short-term (under 1 hour),20.0,18.69,1.31,ENTRY,,SETTLED,NO,01a08580-5800-767e-82d7-a8e8c59e88fa
2026-09-09,"Ethereum 15-minute binary, close 26SEP090630",KXETH15M-26SEP090630-30,Buy to Open (held to settlement),20.0,0.972,1.0,0.038,0.5218,06:29:38,EDT,2026-09-09T10:29:38Z,2026-09-09T10:30:20Z,Short-term (under 1 hour),20.0,19.478,0.522,ENTRY,,SETTLED,YES,01a085b7-4e50-7f46-9f31-5b2a9774e7dd
2026-09-09,"XRP 15-minute binary, close 26SEP090645",KXXRP15M-26SEP090645-45,Buy to Open (held to settlement),20.0,0.97,1.0,0.04,0.5592,06:44:48,EDT,2026-09-09T10:44:48Z,2026-09-09T10:45:20Z,Short-term (under 1 hour),20.0,19.44,0.56,ENTRY,,SETTLED,YES,01a085c5-3100-75b5-ad66-05b31d76ba39
2026-09-09,"XRP 15-minute binary, close 26SEP090700",KXXRP15M-26SEP090700-00,Buy to Open (held to settlement),20.0,0.96,1.0,0.052,0.7462,06:59:31,EDT,2026-09-09T10:59:31Z,2026-09-09T11:00:20Z,Short-term (under 1 hour),20.0,19.252,0.748,ENTRY,,SETTLED,YES,01a085d2-aa38-7cbc-ac91-0c3253e7506d
2026-09-09,"Ethereum 15-minute binary, close 26SEP090715",KXETH15M-26SEP090715-15,Buy to Open (held to settlement),20.0,0.98,1.0,0.026,0.3725,07:14:31,EDT,2026-09-09T11:14:31Z,2026-09-09T11:15:20Z,Short-term (under 1 hour),20.0,19.626,0.374,ENTRY,,SETTLED,NO,01a085e0-65d8-7198-a8c9-14b674fa3ca5
2026-09-09,"Dogecoin 15-minute binary, close 26SEP090745",KXDOGE15M-26SEP090745-45,Buy to Open (held to settlement),20.0,0.926,1.0,0.096,1.384,07:44:56,EDT,2026-09-09T11:44:56Z,2026-09-09T11:45:20Z,Short-term (under 1 hour),20.0,18.616,1.384,ENTRY,,SETTLED,YES,01a085fc-3ec0-766a-8d27-2ce26542bbdc
2026-09-09,"XRP 15-minute binary, close 26SEP090900",KXXRP15M-26SEP090900-00,Buy to Open (held to settlement),17.0,0.961,1.0,0.0442,0.6183,08:59:48,EDT,2026-09-09T12:59:48Z,2026-09-09T13:00:20Z,Short-term (under 1 hour),17.0,16.3812,0.6188,ENTRY,,SETTLED,NO,01a08640-c9a0-7a61-bc98-44c893db4a20
2026-09-09,"Dogecoin 15-minute binary, close 26SEP090900",KXDOGE15M-26SEP090900-00,Buy to Open (held to settlement),20.0,0.948,1.0,0.068,0.9709,08:59:57,EDT,2026-09-09T12:59:57Z,2026-09-09T13:00:20Z,Short-term (under 1 hour),20.0,19.028,0.972,ENTRY,,SETTLED,YES,01a08640-ecc8-75f9-9cf3-cce0e7a65894
2026-09-09,"Ethereum 15-minute binary, close 26SEP091845",KXETH15M-26SEP091845-45,Buy to Open (held to settlement),20.0,0.98,1.0,0.026,0.3725,18:44:30,EDT,2026-09-09T22:44:30Z,2026-09-09T22:45:20Z,Short-term (under 1 hour),20.0,19.626,0.374,ENTRY,,SETTLED,YES,01a08858-14c8-7e43-9176-0c5c69c40e83
2026-09-09,"Bitcoin 15-minute binary, close 26SEP091930",KXBTC15M-26SEP091930-30,Buy to Open (held to settlement),20.0,0.968,1.0,0.042,0.5966,19:29:30,EDT,2026-09-09T23:29:30Z,2026-09-09T23:30:20Z,Short-term (under 1 hour),20.0,19.402,0.598,ENTRY,,SETTLED,YES,01a08881-47a8-7a99-b0d4-2788759446d3
2026-09-09,"Hyperliquid 15-minute binary, close 26SEP091930",KXHYPE15M-26SEP091930-30,Buy to Open (held to settlement),20.0,0.9392,1.0,0.08,1.136,19:29:37,EDT,2026-09-09T23:29:37Z,2026-09-09T23:30:20Z,Short-term (under 1 hour),20.0,18.864,1.136,ENTRY,,SETTLED,YES,01a08881-66e8-77a7-bb28-60eaea1ae618
2026-09-09,"BNB 15-minute binary, close 26SEP092015",KXBNB15M-26SEP092015-15,Buy to Open (held to settlement),20.0,0.976,1.0,0.032,0.4472,20:14:30,EDT,2026-09-10T00:14:30Z,2026-09-10T00:15:20Z,Short-term (under 1 hour),20.0,19.552,0.448,ENTRY,,SETTLED,YES,01a088aa-7e70-7dbd-9bd7-ce02c8e46c79
2026-09-09,"Hyperliquid 15-minute binary, close 26SEP092030",KXHYPE15M-26SEP092030-30,Buy to Open (held to settlement),20.0,0.98,1.0,0.026,0.3725,20:29:38,EDT,2026-09-10T00:29:38Z,2026-09-10T00:30:20Z,Short-term (under 1 hour),20.0,19.626,0.374,ENTRY,,SETTLED,NO,01a088b8-5568-7bf6-8fad-a80d31dfb6fe
2026-09-09,"Hyperliquid 15-minute binary, close 26SEP092100",KXHYPE15M-26SEP092100-00,Buy to Open (held to settlement),9.21,0.975,1.0,0.0157,0.2145,20:59:35,EDT,2026-09-10T00:59:35Z,2026-09-10T01:00:20Z,Short-term (under 1 hour),9.21,8.9955,0.2145,ENTRY,,SETTLED,NO,01a088d3-c4d8-776f-8bdf-a973a0e5f3e3
2026-09-09,"Solana 15-minute binary, close 26SEP092100",KXSOL15M-26SEP092100-00,Buy to Open (held to settlement),20.0,0.96,1.0,0.052,0.7462,20:59:48,EDT,2026-09-10T00:59:48Z,2026-09-10T01:00:20Z,Short-term (under 1 hour),20.0,19.252,0.748,ENTRY,,SETTLED,NO,01a088d3-f7a0-7a95-821b-5ab5790d3525
2026-09-09,"Solana 15-minute binary, close 26SEP092215",KXSOL15M-26SEP092215-15,Buy to Open (held to settlement),10.06,0.976,1.0,0.0161,0.2249,22:14:30,EDT,2026-09-10T02:14:30Z,2026-09-10T02:15:20Z,Short-term (under 1 hour),10.06,9.8347,0.2253,ENTRY,,SETTLED,YES,01a08918-5b70-7e1c-9acf-f822a617eb82
2026-09-09,"Dogecoin 15-minute binary, close 26SEP092215",KXDOGE15M-26SEP092215-15,Buy to Open (held to settlement),20.0,0.943,1.0,0.074,1.0647,22:14:43,EDT,2026-09-10T02:14:43Z,2026-09-10T02:15:20Z,Short-term (under 1 hour),20.0,18.934,1.066,ENTRY,,SETTLED,YES,01a08918-8e38-76e2-bc1d-8e8abd976fdb
2026-09-09,"Zcash 15-minute binary, close 26SEP092230",KXZEC15M-26SEP092230-30,Buy to Open (held to settlement),20.0,0.975,1.0,0.034,0.4658,22:29:30,EDT,2026-09-10T02:29:30Z,2026-09-10T02:30:20Z,Short-term (under 1 hour),20.0,19.534,0.466,ENTRY,,SETTLED,YES,01a08926-1710-7bb7-a9c7-73fc282fe963
2026-09-09,"BNB 15-minute binary, close 26SEP092230",KXBNB15M-26SEP092230-30,Buy to Open (held to settlement),20.0,0.64,1.0,0.322,6.8774,22:29:53,EDT,2026-09-10T02:29:53Z,2026-09-10T02:30:20Z,Short-term (under 1 hour),20.0,13.122,6.878,ENTRY,,SETTLED,YES,01a08926-70e8-782e-9bcc-3a0b6d81d556
2026-09-09,"Bitcoin 15-minute binary, close 26SEP092330",KXBTC15M-26SEP092330-30,Buy to Open (held to settlement),20.0,0.97,1.0,0.04,0.5592,23:29:32,EDT,2026-09-10T03:29:32Z,2026-09-10T03:30:20Z,Short-term (under 1 hour),20.0,19.44,0.56,ENTRY,,SETTLED,YES,01a0895d-0d60-76fc-8a9a-87664b1a05da
